"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$12,705,582,077","0.00%","0.00","0.00","0.00","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$12,374,234,666","0.85%","0.00","0.00","0.00","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$12,351,098,068","1.57%","0.00","0.00","0.00","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$12,278,421,314","3.15%","0.00","0.00","0.00","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$12,265,176,836","1.30%","0.00","0.00","0.00","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$12,256,299,600","4.80%","0.00","0.00","0.00","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$12,255,575,824","1.92%","0.00","0.00","0.00","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$12,113,688,777","3.46%","0.00","0.00","0.00","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$11,932,571,192","0.00%","0.00","0.00","0.00","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$11,902,356,554","0.00%","0.00","0.00","0.00","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$11,680,296,515","6.32%","0.00","0.00","0.00","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$11,611,971,332","1.20%","0.00","0.00","0.00","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$11,605,531,976","0.00%","0.00","0.00","0.00","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$11,539,167,266","0.68%","0.00","0.00","0.00","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$11,364,412,508","2.14%","0.00","0.00","0.00","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$11,149,962,665","5.40%","0.00","0.00","0.00","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Large cap","Consumer Discretionary","$11,144,958,243","0.00%","0.00","0.00","0.00","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$11,090,557,491","0.56%","0.00","0.00","0.00","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$10,981,872,608","3.34%","0.00","0.00","0.00","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$10,974,053,702","2.39%","0.00","0.00","0.00","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,972,388,806","3.77%","0.00","0.00","0.00","Analyze"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$10,931,676,001","1.01%","0.00","0.00","0.00","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$10,931,676,001","1.02%","0.00","0.00","0.00","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$10,887,181,224","0.00%","0.00","0.00","0.00","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Large cap","Industrials","$10,814,350,760","0.00%","0.00","0.00","0.00","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$10,628,117,204","0.54%","0.00","0.00","0.00","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$10,591,549,430","3.32%","0.00","0.00","0.00","Analyze"
"TPR","Tapestry","Common stocks","Large cap","Consumer Discretionary","$10,542,056,919","2.51%","0.00","0.00","0.00","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$10,405,250,067","2.61%","0.00","0.00","0.00","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Large cap","Consumer Discretionary","$10,399,717,421","1.70%","0.00","0.00","0.00","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,276,022,011","0.00%","0.00","0.00","0.00","Analyze"
"BWA","BorgWarner Inc","Common stocks","Large cap","Consumer Discretionary","$10,267,649,831","1.52%","0.00","0.00","0.00","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$10,237,295,089","0.00%","0.00","0.00","0.00","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$10,121,083,173","0.00%","0.00","0.00","0.00","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,020,270,072","0.00%","0.00","0.00","0.00","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,747,261,449","1.43%","0.00","0.00","0.00","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$9,256,821,660","2.70%","0.00","0.00","0.00","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,187,920,194","1.82%","0.00","0.00","0.00","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$8,862,757,541","4.15%","0.00","0.00","0.00","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Mid cap","Consumer Discretionary","$8,836,178,768","3.92%","0.00","0.00","0.00","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,811,228,472","3.89%","0.00","0.00","0.00","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$8,752,042,551","2.13%","0.00","0.00","0.00","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,674,969,257","0.00%","0.00","0.00","0.00","Analyze"
"CTLT","Catalent Inc","Common stocks","Mid cap","Health Care","$8,670,645,718","0.00%","0.00","0.00","0.00","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$8,654,551,090","3.67%","0.00","0.00","0.00","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$8,635,002,509","3.91%","0.00","0.00","0.00","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,416,499,701","4.45%","0.00","0.00","0.00","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,333,772,550","2.20%","0.00","0.00","0.00","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$8,228,207,667","1.65%","0.00","0.00","0.00","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$8,191,365,307","4.46%","0.00","0.00","0.00","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$8,124,399,223","3.40%","0.00","0.00","0.00","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,060,397,600","2.44%","0.00","0.00","0.00","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$7,934,546,831","1.36%","0.00","0.00","0.00","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$7,821,632,215","1.46%","0.00","0.00","0.00","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$7,398,044,386","0.00%","0.00","0.00","0.00","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$7,287,052,404","4.34%","0.00","0.00","0.00","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,220,552,808","3.04%","0.00","0.00","0.00","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$7,216,927,752","0.00%","0.00","0.00","0.00","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$7,176,472,997","1.88%","0.00","0.00","0.00","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$7,155,742,000","0.00%","0.00","0.00","0.00","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$7,155,202,684","0.00%","0.00","0.00","0.00","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$6,719,629,455","2.12%","0.00","0.00","0.00","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,662,688,858","0.00%","0.00","0.00","0.00","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,544,281,433","0.00%","0.00","0.00","0.00","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$6,254,373,447","0.00%","0.00","0.00","0.00","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$6,237,088,000","5.84%","0.00","0.00","0.00","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$5,535,018,210","12.43%","0.00","0.00","0.00","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$5,127,228,559","5.61%","0.00","0.00","0.00","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Mid cap","Health Care","$3,138,998,296","0.39%","0.00","0.00","0.00","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Small cap","Consumer Staples","$743,982,066","2.96%","0.00","0.00","0.00","Analyze"
"GEHC","GE HealthCare Technologies Inc.","Common stocks","Unknown","Health Care","$0","0.00%","0.00","0.00","0.00","Analyze"
